fare_type,applicable_time,distance,fare_per_ride,Bus_fare
Adult card fare,All other timings,Up to 3.2 km,109,109
Adult card fare,All other timings,3.3 km - 4.2 km,119,119
Adult card fare,All other timings,4.3 km - 5.2 km,130,130
Adult card fare,All other timings,5.3 km - 6.2 km,140,140
Adult card fare,All other timings,6.3 km - 7.2 km,149,149
Adult card fare,All other timings,7.3 km - 8.2 km,156,156
Adult card fare,All other timings,8.3 km - 9.2 km,163,163
Adult card fare,All other timings,9.3 km - 10.2 km,167,167
Adult card fare,All other timings,10.3 km - 11.2 km,171,171
Adult card fare,All other timings,11.3 km - 12.2 km,175,175
Adult card fare,All other timings,12.3 km - 13.2 km,179,179
Adult card fare,All other timings,13.3 km - 14.2 km,183,183
Adult card fare,All other timings,14.3 km - 15.2 km,188,188
Adult card fare,All other timings,15.3 km - 16.2 km,192,192
Adult card fare,All other timings,16.3 km - 17.2 km,196,196
Adult card fare,All other timings,17.3 km - 18.2 km,200,200
Adult card fare,All other timings,18.3 km - 19.2 km,204,204
Adult card fare,All other timings,19.3 km - 20.2 km,207,207
Adult card fare,All other timings,20.3 km - 21.2 km,210,210
Adult card fare,All other timings,21.3 km - 22.2 km,213,213
Adult card fare,All other timings,22.3 km - 23.2 km,216,216
Adult card fare,All other timings,23.3 km - 24.2 km,218,218
Adult card fare,All other timings,24.3 km - 25.2 km,220,220
Adult card fare,All other timings,25.3 km - 26.2 km,222,222
Adult card fare,All other timings,26.3 km - 27.2 km,223,223
Adult card fare,All other timings,27.3 km - 28.2 km,224,224
Adult card fare,All other timings,28.3 km - 29.2 km,225,225
Adult card fare,All other timings,29.3 km - 30.2 km,226,226
Adult card fare,All other timings,30.3 km - 31.2 km,227,227
Adult card fare,All other timings,31.3 km - 32.2 km,228,228
Adult card fare,All other timings,32.3 km - 33.2 km,229,229
Adult card fare,All other timings,33.3 km - 34.2 km,230,230
Adult card fare,All other timings,34.3 km - 35.2 km,231,231
Adult card fare,All other timings,35.3 km - 36.2 km,232,232
Adult card fare,All other timings,36.3 km - 37.2 km,233,233
Adult card fare,All other timings,37.3 km - 38.2 km,234,234
Adult card fare,All other timings,38.3 km - 39.2 km,235,235
Adult card fare,All other timings,39.3 km - 40.2 km,236,236
Adult card fare,All other timings,Over 40.2 km,237,237
